NEWID,FINATXEM
05213263,182668
05213343,129581
05213363,115564
05213393,244740
05213403,72566
05213413,216511.2
05213423,155698.6
05213433,17505.4
05213473,28348
05213483,48241
05213573,41775
05213603,119240
05213643,94377.6
05213683,27113
05213693,31229
05213703,100685
05213733,65639.4
05213763,43643
05213873,180687
05213933,49206
05213943,38263
05213973,21540
05214013,118797
05214073,242251.6
05214103,133788
05214123,88092
05214143,141047
05214183,88071
05214223,58729
05214273,14863
05214303,196923
05214353,174898
05214393,112440.6
05214403,11694
05214423,102200.2
05214433,232323
05214513,188381
05214543,143950
05214563,164335.3
05214583,2400
05214643,25223
05214663,169013.6
05214683,125284
05214713,34624
05214743,83197.8
05214763,105920.2
05214773,20319
05214783,29699
05214803,18628
05214913,54995.8
05214933,69714.8
05214983,163379
05215013,28286
05215023,99883
05215033,149732
05215103,103102.6
05215134,105452
05215143,52591.4
05215183,145807
05215193,398798.8
05215203,224371.6
05215213,24130
05215223,100456.2
05215323,44068.8
05215363,24583.4
05215373,28406.2
05215403,62257.8
05215463,146715
05215483,38399
05215553,48592
05215563,115382.2
05215613,94540
05215693,60752
05215743,6676
05215753,39014
05215793,109561.2
05215803,28511
05215823,101059
05215843,38605
05215853,36204.2
05215883,29581.8
05215913,26759
05215953,149740
05215963,490739
05215993,12901.2
05216013,94636
05216023,29109
05216033,-46732.3
05216053,50391
05216073,69896
05216083,199273.8
05216153,130527
05216193,186032.4
05216233,96031
05216243,111947
05216253,47580
05216273,80519
05216313,27946
05216333,73689
05216353,47247
05216423,10271
05216473,124259
05216483,391403
05216513,17750
05216523,46062
05216573,18035
05216603,33131.4
05216613,212558
05216623,81211
05216664,120336.4
05216683,25825.8
05216693,84777.6
05216713,70712
05216773,36828
05216783,8135.2
05216843,10984
05216893,180717.4
05216903,139677
05216923,19620
05216973,32127.8
05216993,335211
05217003,95654
05217013,95114.8
05217033,44873
05217043,44262.4
05217063,55193.6
05217083,82143.6
05217183,38810.6
05217223,65673.6
05217233,118483
05217263,59030
05217283,9720
05217293,250522.8
05217323,99477
05217343,119497
05217353,37246
05217363,46446
05217383,64577
05217403,354258
05217453,36336
05217473,59889
05217483,155802.7
05217503,70688
05217553,21775.2
05217563,85369
05217583,129691
05217613,5050
05217633,81373.8
05217673,73563
05217713,95405.4
05217733,60326.6
05217763,23018.2
05217773,267526.6
05217813,13979
05217823,106284
05217843,67835
05217853,202554.6
05217893,42183
05217913,60799.2
05217923,49961
05217953,42179
05217963,56340.6
05217983,1405
05218033,93809.2
05218063,333682.6
05218093,106555.2
05218103,38025
05218183,50640
05218223,239261.8
05218283,48586.6
05218293,63277.6
05218303,107593
05218333,145206
05218363,1285
05218413,37765.6
05218433,34522
05218453,38460
05218533,61904.8
05218543,26664
05218593,53677.4
05218643,58809
05218653,247695.6
05218673,116701
05218703,58044.6
05218713,30371
05218783,46749.6
05218803,10499
05218813,149141.2
05218833,38662
05218883,114746
05218893,1528
05218923,60791
05218963,103487
05218983,327237.6
05218993,130594.6
05219023,366227.6
05219033,181149.8
05219043,19330.2
05219063,154709.8
05219163,25869
05219183,33707
05219193,107010.8
05219203,20291
05219223,249238.6
05219263,36574.4
05219293,1340
05219313,49280.2
05219353,83729
05219363,94305
05219373,119851
05219443,60164
05219453,120348.3
05219503,19979
05219513,10739
05219523,56332.2
05219563,191810.6
05219603,102353
05219613,57160
05219623,92964
05219633,147820
05219643,65761
05219683,3344.2
05219693,38716.8
05219713,215116
05219763,165647.3
05219793,70037
05219813,135786
05219823,12817.4
05219833,21879
05219873,10840
05219924,169919
05219933,7966.8
05219943,158911.8
05219953,180204.2
05219963,15690
05220043,41546
05220063,2400
05220073,26000
05220133,16484
05220153,42887.8
05220173,212188.8
05220223,40540.8
05220243,125768
05220353,196951
05220413,111076
05220423,183394
05220463,40996
05220493,163456
05220503,51971.4
05220533,120710.4
05220553,368
05220633,96455.4
05220663,138646.8
05220683,32383
05220693,147745
05220703,21962.2
05220713,14479
05220733,22379
05220743,36350
05220753,13224
05220803,14651
05220813,65697
05220863,108976
05220873,190944
05220883,30692.2
05220913,208532
05220923,79188.8
05220983,38887.8
05221003,26998
05221043,229682.2
05221063,18588
05221103,80670
05221153,2732
05221183,38513
05221213,88370.4
05221283,143880
05221333,36085
05221343,11631.2
05221353,25979
05221373,81131.6
05221383,139065.4
05221403,230853
05221473,90507
05221493,25257
05221503,182614
05221513,162138.6
05221523,64623.6
05221574,59284
05221603,24179
05221613,102018
05221633,30628
05221673,66972
05221793,0
05221873,12366
05221883,114678
05221933,176475
05221963,125166
05221973,88979
05222003,124491
05222073,18779
05222093,56280.2
05222103,79083
05222133,31842
05222143,9777
05222163,90617
05222174,15491
05222233,160630
05222313,4172.6
05222323,52404
05222333,39935.2
05222373,76573
05222383,204249.6
05222413,138733
05222433,154814.4
05222453,46633
05222503,105040
05222523,38935.6
05222543,64755
05222583,93347
05222593,157132
05222653,8764
05222683,89247
05222693,22076.2
05222743,500
05222753,3445
05222763,76872
05222833,34608
05222853,18204
05222873,79440
05222913,30771
05222933,164456
05222953,192929.8
05222983,104270
05223043,65278
05223073,118162
05223093,109381
05223123,32279
05223223,64934.2
05223303,131064.2
05223313,44620
05223343,25994
