NEWID,FINCATAX
1007505,36926
1007515,6742
1007535,8484
1007565,127000
1007595,57023
1007605,0
1007645,76600
1007665,32849
1007695,10914
1007705,92100
1007715,18507
1007725,106137
1007735,17603
1007795,7688
1007805,0
1007815,217100
1007865,-2200
1007885,77502
1007895,1200
1007935,68600
1007945,14346
1007965,3500
1007985,16546
1007995,31464
1008005,95300
1008055,48000
1008085,13846
1008125,0
1008135,31629
1008154,1092
1008164,61656
1008174,15132
1008194,21292
1008204,-2378
1008214,216200
1008224,85706
1008244,47075
1008264,15010
1008314,58590
1008324,22200
1008334,0
1008354,7566
1008364,61877
1008394,0
1008414,24542
1008424,135024
1008434,54088
1008444,16338
1008454,24580
1008464,43000
1008474,2030
1008484,56697
1008494,0
1008504,44710
1008514,546
1008524,0
1008544,72386
1008554,11271
1008565,0
1008584,15644
1008604,-8800
1008624,12868
1008634,53800
1008644,500
1008654,100
1008664,29654
1008674,15689
1008694,49762
1008724,29996
1008735,38753
1008754,0
1008764,35419
1008794,13800
1008804,546
1008814,17142
1008824,25003
1008834,14926
1008844,15300
1008854,6000
1008874,4400
1008894,30442
1008914,48960
1008934,117102
1008944,5491
1008954,0
1008974,60021
1008994,40982
1009005,29646
1009014,0
1009024,0
1009034,58200
1009044,12718
1009054,67239
1009075,65159
1009084,24725
1009094,48300
1009104,66861
1009144,19190
1009174,0
1009194,66151
1009205,0
1009214,98446
1009234,938
1009254,11747
1009264,21632
1009274,5930
1009285,35000
1009294,38305
1009304,14614
1009324,1000
1009334,9318
1009344,44528
1009364,26946
1009374,9768
1009384,268209
1009394,41800
1009404,8
1009414,14576
1009424,11455
1009434,11446
1009454,16814
1009474,0
1009484,0
1009494,9054
1009514,21540
1009524,21854
1009535,40546
1009554,12000
1009564,51650
1009574,0
1009584,30575
1009594,41134
1009614,5850
1009624,84159
1009634,22745
1009654,0
1009664,37542
1009674,70695
1009684,70000
1009714,23115
1009724,13834
1009744,30130
1009754,-1200
1009764,40855
1009774,77306
1009814,0
1009824,43118
1009834,10146
1009854,1638
1009864,96047
1009874,82000
1009884,20356
1009895,546
1009905,39413
1009924,40660
1009944,0
1009965,49493
1010004,26550
1010015,150000
1010024,54079
1010034,0
1010044,38224
1010054,14950
1010064,-1000
1010084,5000
1010094,0
1010115,33718
1010124,12484
1010134,63300
1010164,54450
1010174,30960
1010184,27900
1010194,0
1010224,24896
1010234,-470
1010244,53000
1010254,59949
1010265,0
1010274,9518
1010284,1450
1010294,1870
1010304,0
1010314,27040
1010324,0
1010334,0
1010344,0
1010354,546
1010364,62370
1010374,97200
1010384,49683
1010404,118288
1010414,59542
1010424,212292
1010434,31286
1010454,114660
1010464,10350
1010474,0
1010484,46470
1010494,730
1010504,16355
1010514,22746
1010524,0
1010534,37000
1010544,75000
1010554,1300
1010564,0
1010574,107000
1010594,58146
1010604,138255
1010614,68118
1010624,17500
1010634,36000
1010654,105860
1010664,50000
1010674,79666
1010684,0
1010695,13849
1010704,11939
